"Name","TotalScore","LowVolume","HighVolume","Assert"
"HashNEW","1.7568","1.2816","2.3507","True"
"hashTableNEW","1.7798","1.7458","1.8224","True"
"NEWObject","132.1500","99.4975","172.9656","True"
"NEWObjectHash","186.4163","95.1063","300.5539","True"
"NEWDictStrStr","431.0536","284.8548","613.8020","True"
"DictStrStrNEW","6.1588","9.9611","1.4059","True"
"DictStrIntNEW","7.7907","12.9102","1.3913","True"
"QuickInstance","9.9305","15.8108","2.5800","True"
"HereHash","90.2269","80.0350","102.9668","True"
