"Name","TotalScore","LowVolume","HighVolume","Assert"
"Sort-Object","33.9679","6.7524","79.3272","True"
"Generic.HashSet","35.1953","1.2615","91.7516","True"
"Get-Unique","37.1580","38.6844","34.6141","True"
"Linq-Distinct","4.4396","6.5033","1.0000","True"
"Select-Object","8.3069","9.8305","5.7676","True"
