"Name","TotalScore","LowVolume","HighVolume","Assert"
"NewObject","204.4009","86.6898","351.5397","True"
"QuickInstanceNEW","5.9294","9.7650","1.1350","True"
"ArrayList","6.9717","11.4467","1.3779","True"
"QuickInstance","8.5725","10.6838","5.9334","True"
