"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"|Foreach{}{}{}","00:00:00.0003961","13","7.1.4","Win","CoreCLR","0","00:00:00.0027728","True","00:00:00.0004443","00:00:00.0003641","7","2,3690191387559807"
"|Foreach","00:00:00.0004061","21","7.1.4","Win","CoreCLR","8192","00:00:00.0028425","True","00:00:00.0004672","00:00:00.0003792","7","1,6244"
"|& SimpleMethod","00:00:00.0004221","21","7.1.4","Win","CoreCLR","0","00:00:00.0029544","True","00:00:00.0005149","00:00:00.0003490","7","1,6884"
"|SimpleFunction2","00:00:00.0004684","21","7.1.4","Win","CoreCLR","0","00:00:00.0032787","True","00:00:00.0005587","00:00:00.0004169","7","1,8736"
"|Foreach{}{}{}","00:00:00.0004845","8","7.1.4","Win","CoreCLR","4096","00:00:00.0033914","True","00:00:00.0005400","00:00:00.0004400","7","2,7575412635173593"
"|SimpleFunction3","00:00:00.0004947","21","7.1.4","Win","CoreCLR","20480","00:00:00.0034631","True","00:00:00.0006740","00:00:00.0004225","7","1,9788"
"|AnonymousFunc","00:00:00.0005901","100","7.1.4","Win","CoreCLR","0","00:00:00.0041306","True","00:00:00.0007224","00:00:00.0005527","7","1"
"|SimpleFunction2","00:00:00.0006301","1","7.1.4","Win","CoreCLR","8192","00:00:00.0044108","True","00:00:00.0035518","00:00:00.0001203","7","2,5930041152263374"
"|SimpleFunction1","00:00:00.0008492","1","7.1.4","Win","CoreCLR","499712","00:00:00.0059444","True","00:00:00.0054161","00:00:00.0000755","7","3,494650205761317"
"|Foreach2.0","00:00:00.0011122","8","7.1.4","Win","CoreCLR","4096","00:00:00.0077853","True","00:00:00.0015845","00:00:00.0008761","7","6,330108138873079"
"|SimpleFunction1","00:00:00.0011230","100","7.1.4","Win","CoreCLR","0","00:00:00.0078610","True","00:00:00.0027209","00:00:00.0006290","7","1,9030672767327572"
"|Foreach{}{}{}","00:00:00.0011409","100","7.1.4","Win","CoreCLR","0","00:00:00.0079866","True","00:00:00.0017082","00:00:00.0008172","7","1,9334011184544992"
"|SimpleFunction2","00:00:00.0012510","100","7.1.4","Win","CoreCLR","548864","00:00:00.0087573","True","00:00:00.0014352","00:00:00.0010757","7","2,11997966446365"
"|Foreach2.0","00:00:00.0013182","21","7.1.4","Win","CoreCLR","8192","00:00:00.0092273","True","00:00:00.0017662","00:00:00.0010758","7","5,2728"
"|Foreach","00:00:00.0014305","100","7.1.4","Win","CoreCLR","36864","00:00:00.0100133","True","00:00:00.0030906","00:00:00.0008632","7","2,4241653956956446"
"|& SimpleMethod","00:00:00.0014804","100","7.1.4","Win","CoreCLR","0","00:00:00.0103626","True","00:00:00.0022734","00:00:00.0011483","7","2,50872733435011"
"|SimpleFunction3","00:00:00.0016092","100","7.1.4","Win","CoreCLR","0","00:00:00.0112642","True","00:00:00.0022530","00:00:00.0012143","7","2,726995424504321"
"|Foreach2.0","00:00:00.0016560","13","7.1.4","Win","CoreCLR","3313664","00:00:00.0115923","True","00:00:00.0017352","00:00:00.0015616","7","9,904306220095695"
