"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Max","Min","Total","Assert","Score"
"While(){}","00:00:00.0007621","100","7.1.4","Mac","CoreCLR","0","00:00:00.0010162","00:00:00.0006217","00:00:00.0053346","True","2.104667219000276"
"|Where-Obj{}","00:00:00.0010253","13","7.1.4","Mac","CoreCLR","53248","00:00:00.0012497","00:00:00.0008820","00:00:00.0071768","True","8.376633986928105"
"|Foreach-Obj{}","00:00:00.0015002","21","7.1.4","Mac","CoreCLR","12288","00:00:00.0051612","00:00:00.0008046","00:00:00.0105015","True","6.856489945155393"
"Do{}While()","00:00:00.0020899","100","7.1.4","Mac","CoreCLR","0","00:00:00.0109423","00:00:00.0005989","00:00:00.0146292","True","5.771610052471693"
".Foreach({})","00:00:00.0022270","100","7.1.4","Mac","CoreCLR","0","00:00:00.0112391","00:00:00.0006638","00:00:00.0155889","True","6.150234741784038"
"While(){}","00:00:00.0022872","1","7.1.4","Mac","CoreCLR","61440","00:00:00.0153640","00:00:00.0000948","00:00:00.0160101","True","8.002799160251925"
"For(){}","00:00:00.0024342","8","7.1.4","Mac","CoreCLR","24576","00:00:00.0161763","00:00:00.0001175","00:00:00.0170392","True","22.088929219600725"
"For(){}","00:00:00.0024886","1","7.1.4","Mac","CoreCLR","0","00:00:00.0149396","00:00:00.0000768","00:00:00.0174205","True","8.707487753673897"
"|Where-Obj{}","00:00:00.0024951","21","7.1.4","Mac","CoreCLR","49152","00:00:00.0066772","00:00:00.0012689","00:00:00.0174655","True","11.403564899451554"
".Foreach({})","00:00:00.0025027","3","7.1.4","Mac","CoreCLR","0","00:00:00.0163045","00:00:00.0001202","00:00:00.0175191","True","22.128205128205128"
"Do{}While()","00:00:00.0025075","13","7.1.4","Mac","CoreCLR","0","00:00:00.0164254","00:00:00.0001607","00:00:00.0175524","True","20.48611111111111"
"While(){}","00:00:00.0029676","21","7.1.4","Mac","CoreCLR","16384","00:00:00.0195744","00:00:00.0001849","00:00:00.0207730","True","13.563071297989032"
"Do{}While()","00:00:00.0032026","21","7.1.4","Mac","CoreCLR","8192","00:00:00.0212218","00:00:00.0001767","00:00:00.0224182","True","14.637111517367458"
"Foreach(){}","00:00:00.0032313","21","7.1.4","Mac","CoreCLR","20480","00:00:00.0218440","00:00:00.0001088","00:00:00.0226190","True","14.768281535648995"
"For(){}","00:00:00.0035074","13","7.1.4","Mac","CoreCLR","0","00:00:00.0233643","00:00:00.0001511","00:00:00.0245518","True","28.655228758169933"
"|Where-Obj{}","00:00:00.0035622","3","7.1.4","Mac","CoreCLR","12288","00:00:00.0207268","00:00:00.0005211","00:00:00.0249357","True","31.49602122015915"
".Where({})","00:00:00.0036196","100","7.1.4","Mac","CoreCLR","0","00:00:00.0170858","00:00:00.0008079","00:00:00.0253372","True","9.996133664733499"
"|Where-Obj{}","00:00:00.0041815","8","7.1.4","Mac","CoreCLR","20480","00:00:00.0241042","00:00:00.0007442","00:00:00.0292708","True","37.94464609800363"
