"Name","TotalScore","LowVolume","HighVolume","Assert"
"QuickInstance","1.1512","1.1251","1.1838","False"
"DictStrIntNEW","1.4308","1.7632","1.0152","False"
"DictStrStrNEW","1.4559","1.7541","1.0832","False"
"hashTableNEW","1.5444","1.8697","1.1379","False"
"HashNEW","1.5792","1.9540","1.1108","False"
"NEWDictStrStr","136.7079","39.9453","257.6613","False"
"HereHash","29.1021","10.9934","51.7380","False"
"NEWObject","32.6897","9.0024","62.2988","False"
"NEWObjectHash","47.8304","12.8214","91.5915","False"
