"Name","TotalScore","LowVolume","HighVolume","Assert"
"SingleObject_Hash-init","1.1938","1.3489","1.0000","True"
"SingleObject-EQ","10.7548","1.7474","22.0140","True"
"SingleObject-NOT-EQ","14.8606","3.6321","28.8963","True"
"SingleObject-Contains","22.3005","2.7447","46.7452","True"
"SingleObject-in","23.3232","1.2557","50.9077","True"
"SingleObject_Contain()","3.6120","2.3438","5.1974","True"
"SingleObject_IndexOf()","3.9856","2.9019","5.3403","True"
"SingleObject_Hash+init","465.5107","8.0216","1 037.3721","True"
"SingleObject-Match","61.1006","8.6935","126.6094","True"
