"Name","TotalScore","LowVolume","HighVolume"
"NewPSobjCUSTOMHASH","2.159716476049286","2.9030035544805712","1.2306076280101796"
"NewPSobjHASH","4.890451176736779","7.977768126393104","1.0313049896663715"
"CastCUSTOMHash1","5.131272078062442","4.603125658132302","5.791455102975118"
"CastHash1","6.562641967695005","9.407152148013036","3.0070042422974668"
"NewPSObjCUSTOM","65.0662648568174","40.17188428667389","96.18424056949678"
"NewPSObj","78.10112349201326","38.90417512045691","127.0973089564587"
