"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Max","Min","Total","Assert","Score"
"|SimpleFunction1","00:00:00.0017288","13","7.1.4","Mac","CoreCLR","8192","00:00:00.0093803","00:00:00.0004024","00:00:00.0121013","True","3.7895659798334065"
"|Foreach{}{}{}","00:00:00.0017872","21","7.1.4","Mac","CoreCLR","24576","00:00:00.0049080","00:00:00.0011729","00:00:00.0125107","True","3.122837672549362"
"|& SimpleMethod","00:00:00.0020418","21","7.1.4","Mac","CoreCLR","32768","00:00:00.0063980","00:00:00.0008381","00:00:00.0142925","True","3.5677092434038093"
"|SimpleFunction1","00:00:00.0022492","100","7.1.4","Mac","CoreCLR","20480","00:00:00.0064608","00:00:00.0013558","00:00:00.0157444","True","1"
"|Foreach2.0","00:00:00.0025143","3","7.1.4","Mac","CoreCLR","36864","00:00:00.0034425","00:00:00.0018055","00:00:00.0176004","True","6.694089456869009"
"|Foreach","00:00:00.0026323","1","7.1.4","Mac","CoreCLR","24576","00:00:00.0110746","00:00:00.0004022","00:00:00.0184262","True","4.335859001811893"
"|Foreach2.0","00:00:00.0026567","8","7.1.4","Mac","CoreCLR","45056","00:00:00.0038254","00:00:00.0021345","00:00:00.0185966","True","4.627591012018812"
"|SimpleFunction2","00:00:00.0026931","21","7.1.4","Mac","CoreCLR","57344","00:00:00.0075698","00:00:00.0008967","00:00:00.0188518","True","4.705748733181897"
"|SimpleFunction2","00:00:00.0033788","1","7.1.4","Mac","CoreCLR","16384","00:00:00.0210541","00:00:00.0004079","00:00:00.0236513","True","5.565475210014824"
"|Foreach2.0","00:00:00.0034535","21","7.1.4","Mac","CoreCLR","73728","00:00:00.0054397","00:00:00.0023902","00:00:00.0241744","True","6.034422505678839"
"|SimpleFunction2","00:00:00.0035332","100","7.1.4","Mac","CoreCLR","36864","00:00:00.0069951","00:00:00.0028150","00:00:00.0247324","True","1.5708696425395696"
"|& SimpleMethod","00:00:00.0036102","100","7.1.4","Mac","CoreCLR","12288","00:00:00.0047849","00:00:00.0031771","00:00:00.0252711","True","1.6051040369909302"
"|SimpleFunction4","00:00:00.0036146","100","7.1.4","Mac","CoreCLR","32768","00:00:00.0060199","00:00:00.0028383","00:00:00.0253023","True","1.6070602881024365"
"|SimpleFunction3","00:00:00.0040331","100","7.1.4","Mac","CoreCLR","28672","00:00:00.0097328","00:00:00.0027369","00:00:00.0282315","True","1.7931264449582074"
"|AnonymousFunc","00:00:00.0041368","100","7.1.4","Mac","CoreCLR","40960","00:00:00.0113137","00:00:00.0014624","00:00:00.0289575","True","1.8392317268362084"
"|SimpleFunction1","00:00:00.0047639","1","7.1.4","Mac","CoreCLR","524288","00:00:00.0309756","00:00:00.0002972","00:00:00.0333470","True","7.846977433701203"
"|Foreach2.0","00:00:00.0048642","13","7.1.4","Mac","CoreCLR","5386240","00:00:00.0144961","00:00:00.0023634","00:00:00.0340494","True","10.66242875931609"
"|Foreach","00:00:00.0050575","100","7.1.4","Mac","CoreCLR","61440","00:00:00.0076240","00:00:00.0037971","00:00:00.0354025","True","2.2485772719189043"
"|Foreach{}{}{}","00:00:00.0055195","100","7.1.4","Mac","CoreCLR","86016","00:00:00.0107145","00:00:00.0037157","00:00:00.0386368","True","2.4539836386270673"
"|Foreach2.0","00:00:00.0057551","100","7.1.4","Mac","CoreCLR","73728","00:00:00.0073931","00:00:00.0042748","00:00:00.0402860","True","2.5587319935977235"
"|Foreach2.0","00:00:00.0132613","1","7.1.4","Mac","CoreCLR","102400","00:00:00.0684940","00:00:00.0021430","00:00:00.0928291","True","21.843683083511777"
"|SimpleFunction1","00:00:00.0152080","1000","7.1.4","Mac","CoreCLR","2560000","00:00:00.0188813","00:00:00.0105837","00:00:00.1064563","True","1"
"|AnonymousFunc","00:00:00.0448198","1000","7.1.4","Mac","CoreCLR","4096","00:00:00.0781181","00:00:00.0306617","00:00:00.3137388","True","2.9471199368753287"
"|SimpleFunction2","00:00:00.0512854","1000","7.1.4","Mac","CoreCLR","913408","00:00:00.1477786","00:00:00.0225291","00:00:00.3589980","True","3.372264597580221"
"|Foreach2.0","00:00:00.0633356","1000","7.1.4","Mac","CoreCLR","-20480","00:00:00.0766094","00:00:00.0485536","00:00:00.4433494","True","4.16462388216728"
"|SimpleFunction3","00:00:00.0919978","1000","7.1.4","Mac","CoreCLR","20480","00:00:00.1224022","00:00:00.0557811","00:00:00.6439847","True","6.049302998421883"
"|& SimpleMethod","00:00:00.0970907","1000","7.1.4","Mac","CoreCLR","-3915776","00:00:00.1291435","00:00:00.0734891","00:00:00.6796349","True","6.384185954760652"
"|SimpleFunction4","00:00:00.1005572","1000","7.1.4","Mac","CoreCLR","0","00:00:00.1177147","00:00:00.0786146","00:00:00.7039004","True","6.612125197264597"
"|Foreach","00:00:00.1115954","1000","7.1.4","Mac","CoreCLR","-4096","00:00:00.1908937","00:00:00.0849441","00:00:00.7811679","True","7.337940557601263"
"|Foreach{}{}{}","00:00:00.1211110","1000","7.1.4","Mac","CoreCLR","-1634304","00:00:00.2326253","00:00:00.0802528","00:00:00.8477773","True","7.9636375591793795"
"|SimpleFunction1","00:00:00.3516898","10000","7.1.4","Mac","CoreCLR","12525568","00:00:00.4369417","00:00:00.2937008","00:00:02.4618286","True","1"
"|AnonymousFunc","00:00:00.3687887","10000","7.1.4","Mac","CoreCLR","-1130496","00:00:00.4056775","00:00:00.3473431","00:00:02.5815211","True","1.048619266182869"
"|SimpleFunction2","00:00:00.6640480","10000","7.1.4","Mac","CoreCLR","7720960","00:00:00.7022122","00:00:00.6190815","00:00:04.6483359","True","1.8881639444760696"
"|SimpleFunction4","00:00:00.7339432","10000","7.1.4","Mac","CoreCLR","-6197248","00:00:00.7715892","00:00:00.6981448","00:00:05.1376023","True","2.0869049941169746"
"|Foreach2.0","00:00:00.7511392","10000","7.1.4","Mac","CoreCLR","-1859584","00:00:00.9512634","00:00:00.5842069","00:00:05.2579747","True","2.135800355881803"
"|& SimpleMethod","00:00:00.7591369","10000","7.1.4","Mac","CoreCLR","-3362816","00:00:00.8002795","00:00:00.7151003","00:00:05.3139580","True","2.158541134829614"
"|SimpleFunction3","00:00:00.7712634","10000","7.1.4","Mac","CoreCLR","-290816","00:00:01.2220305","00:00:00.6732499","00:00:05.3988441","True","2.1930218050111208"
