"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"CastCUSTOMHash1","00:00:00.0706655","1000","7.1.4","Mac","CoreCLR","344064","00:00:00.4946582","True","00:00:00.0940296","00:00:00.0464683","7","5.097307278930702"
"NewPSObj","00:00:00.0751852","21","7.1.4","Mac","CoreCLR","-1597440","00:00:00.5262967","True","00:00:00.1795012","00:00:00.0070766","7","194.93181228934404"
"NewPSobjCUSTOMHASH","00:00:00.0872403","10000","7.1.4","Mac","CoreCLR","20164608","00:00:00.6106824","True","00:00:00.0972384","00:00:00.0636986","7","1"
"NewPSobjHASH","00:00:00.0892628","10000","7.1.4","Mac","CoreCLR","12931072","00:00:00.6248393","True","00:00:00.1388172","00:00:00.0441581","7","1.0231830931347095"
"CastHash1","00:00:00.1432977","10000","7.1.4","Mac","CoreCLR","33951744","00:00:01.0030838","True","00:00:00.2274954","00:00:00.0750747","7","1.6425631273620105"
"NewPSObjCUSTOM","00:00:00.2587014","100","7.1.4","Mac","CoreCLR","65536","00:00:01.8109099","True","00:00:00.3560412","00:00:00.1245690","7","293.61184882533195"
"NewPSObj","00:00:00.2978654","100","7.1.4","Mac","CoreCLR","3993600","00:00:02.0850579","True","00:00:00.7970077","00:00:00.1562182","7","338.0608330495971"
"NewPSobjHASH","00:00:00.4022123","100000","7.1.4","Mac","CoreCLR","262713344","00:00:02.8154863","True","00:00:00.5128052","00:00:00.3346017","7","1"
"NewPSobjCUSTOMHASH","00:00:00.4392333","100000","7.1.4","Mac","CoreCLR","293072896","00:00:03.0746330","True","00:00:00.5416491","00:00:00.3742457","7","1.0920434307951299"
"CastCUSTOMHash1","00:00:00.5105303","10000","7.1.4","Mac","CoreCLR","35385344","00:00:03.5737120","True","00:00:00.5527170","00:00:00.4677022","7","5.8520007381909505"
"NewPSObj","00:00:01.0004744","1000","7.1.4","Mac","CoreCLR","8192000","00:00:07.0033211","True","00:00:01.5812633","00:00:00.7446821","7","72.16711749727698"
"NewPSObjCUSTOM","00:00:01.0329286","1000","7.1.4","Mac","CoreCLR","-1007616","00:00:07.2305004","True","00:00:01.1728799","00:00:00.8122915","7","74.5081329842101"
"CastHash1","00:00:01.1681224","100000","7.1.4","Mac","CoreCLR","169172992","00:00:08.1768566","True","00:00:01.4454815","00:00:01.0313472","7","2.9042433560584797"
"CastCUSTOMHash1","00:00:02.6793345","100000","7.1.4","Mac","CoreCLR","93605888","00:00:18.7553414","True","00:00:02.9035762","00:00:02.3725030","7","6.6614931965034385"
"NewPSObjCUSTOM","00:00:06.9100276","10000","7.1.4","Mac","CoreCLR","-13479936","00:00:48.3701933","True","00:00:07.3326307","00:00:06.5466279","7","79.2068298710573"
"NewPSObj","00:00:08.5676943","10000","7.1.4","Mac","CoreCLR","41824256","00:00:59.9738599","True","00:00:09.5554417","00:00:07.5033788","7","98.20798759288998"
"NewPSObjCUSTOM","00:00:47.9597950","100000","7.1.4","Mac","CoreCLR","69079040","00:05:35.7185652","True","00:00:50.5666502","00:00:44.3832511","7","119.24000086521471"
"NewPSObj","00:01:09.0768341","100000","7.1.4","Mac","CoreCLR","78647296","00:08:03.5378387","True","00:01:37.0432195","00:00:43.4760273","7","171.7422219559173"
